field,value
"record.schemaVersion","t1-t6-experiment-record-v1"
"record.taskId","T5"
"record.experimentId","T5-run-hobs-2024-candidate-rich-1786074994946-5"
"record.runId","run-hobs-2024-candidate-rich-1786074994946"
"record.captureIndex","5"
"record.capturedAtIso","2026-08-07T04:59:19.614Z"
"record.scenarioIdentity","hobs-2024-candidate-rich"
"record.profileIdentity","hobs-2024-candidate-rich"
"record.sceneSource","live-sim"
"record.sceneLane","sinr-live"
"record.windowId","780.5104000017659-789.8654000027199"
"record.windowStartSec","780.5104000017659"
"record.windowEndSec","789.8654000027199"
"record.durationSec","9.355000000953964"
"record.changedInput","P_t: 50 -> 35 dBm"
"record.unchangedInputs","scene/profile/service context and time window"
"record.changedControls.bandwidthMHz","100"
"record.changedControls.frequencyReuse","3"
"record.changedControls.maxTxPowerDbm","35"
"record.unchangedControls.comparisonContextKey","scene:live-sim:sinr-live:sinr-experiment|profile:hobs-2024-candidate-rich:hobs-2024-candidate-rich|signal:28.000|0.100|0.050|2.000|20.000|100.000|0.000|-174.000|40.000|0.000|3.323|bessel-j1-j3|12.000|4.000|3|fspl,atmospheric,scintillation,shadow-fading|topology:base|base|base|random|static|default|default|default|no-ue-trails|energy:28.000|0.100|0.050|2.000|20.000|100.000|0.000|-174.000|40.000|0.000|3.323|bessel-j1-j3|12.000|4.000|3|fspl,atmospheric,scintillation,shadow-fading|base|base|base|random|static|default|default|default|no-ue-trails|pa=0.35|circuit=3|eho=3|handover:sinr-offset:2:sinr-offset|3.000|3.500|30.000|0.500|0.750|1.000|1.500|-5.000|0.400|0.300|0.300|0.001000|0.990|128|2|64|Adam|1.000|0.050|0.0100|50000|100|training:{""axes"":null,""seedTriplet"":null,""jobId"":null}|service:paper-faithful"
"record.unchangedControls.measurementWindow","780.5104000017659-789.8654000027199"
"record.units.rfOutput","W"
"record.units.totalPower","W"
"record.units.totalEnergy","J"
"record.units.throughput","Mbit/s"
"record.units.data","Mbit"
"record.units.runEe","Mbit/J"
"record.units.lowSinr","%"
"record.units.actualRf","W"
"record.units.ratedRf","W"
"record.absenceReason",
"record.interpretation","Read the gated verdict from the two captured actual-data arms."
"record.tradeoff","No verdict is inferred when the comparison is withheld."
"record.limitation",
"record.paEfficiency",
"record.rfOutput",
"record.paInput",
"record.circuitPower",
"record.totalPower",
"record.scopeStatus",
"record.energyKnobs",
"record.paPower",
"record.handoverEnergy",
"record.handoverCount",
"record.radioEnergy",
"record.totalEnergy",
"record.runEe",
"record.lowSinr",
"record.bandwidth",
"record.reuseFactor",
"record.load",
"record.sinr",
"record.throughput",
"record.data",
"record.serviceStatus",
"record.servingSatellite",
"record.servingCell",
"record.servingBeam",
"record.sourceKind",
"record.beforeParams",
"record.afterParams",
"record.dataT4",
"record.energyT4",
"record.windowIdT4",
"record.simulationClock",
"record.playbackState",
"record.resetAction",
"record.explicitStateStatus","WITHHELD"
"record.baselineArm.role","baseline"
"record.baselineArm.txPowerDbm","50"
"record.baselineArm.windowStartSimTimeSec","772.7119000015275"
"record.baselineArm.windowEndSimTimeSec","780.5104000017659"
"record.baselineArm.elapsedSec","7.798500000238391"
"record.baselineArm.cumulativeDataMbit","37.87932635694147"
"record.baselineArm.totalEnergyJ","2251.538357211684"
"record.baselineArm.lowSinrRatioPct","100"
"record.baselineArm.runEeMbitPerJ","0.016823753517506763"
"record.baselineArm.lowSinrThresholdDb","14"
"record.baselineArm.handoverCount","0"
"record.baselineArm.servingLoad","6"
"record.baselineArm.servingSinrDb","-7.190407732382694"
"record.baselineArm.throughputMbps","8.404463958199257"
"record.baselineArm.serviceStatus","served"
"record.baselineArm.serviceIdentity","shell-pro-53-P8-S4/0"
"record.baselineArm.producerStatus","valid"
"record.baselineArm.absenceReason",
"record.candidateArm.role","candidate"
"record.candidateArm.txPowerDbm","35"
"record.candidateArm.windowStartSimTimeSec","780.5104000017659"
"record.candidateArm.windowEndSimTimeSec","789.8654000027199"
"record.candidateArm.elapsedSec","9.355000000953964"
"record.candidateArm.cumulativeDataMbit","4.583382644195955"
"record.candidateArm.totalEnergyJ","112.58816432826728"
"record.candidateArm.lowSinrRatioPct","100"
"record.candidateArm.runEeMbitPerJ","0.040709275895399015"
"record.candidateArm.lowSinrThresholdDb","14"
"record.candidateArm.handoverCount","0"
