field,value
"record.schemaVersion","t1-t6-experiment-record-v1"
"record.taskId","T3"
"record.experimentId","T3-run-hobs-2024-candidate-rich-1786074994946-3"
"record.runId","run-hobs-2024-candidate-rich-1786074994946"
"record.captureIndex","3"
"record.capturedAtIso","2026-08-07T04:25:41.627Z"
"record.scenarioIdentity","hobs-2024-candidate-rich"
"record.profileIdentity","hobs-2024-candidate-rich"
"record.sceneSource","live-sim"
"record.sceneLane","sinr-live"
"record.windowId","748.9023000035301-762.1798000023381"
"record.windowStartSec","748.9023000035301"
"record.windowEndSec","762.1798000023381"
"record.durationSec","13.277499998808025"
"record.changedInput","B / K"
"record.unchangedInputs","U=1; SINR=0 dB"
"record.changedControls.bandwidthMHz","200"
"record.changedControls.frequencyReuse","4"
"record.unchangedControls.assignedBeamLoad","1"
"record.unchangedControls.sinrDb","0"
"record.units.rfOutput","W"
"record.units.totalPower","W"
"record.units.totalEnergy","J"
"record.units.throughput","Mbit/s"
"record.units.data","Mbit"
"record.units.runEe","Mbit/J"
"record.units.lowSinr","%"
"record.units.actualRf","W"
"record.units.ratedRf","W"
"record.absenceReason",
"record.interpretation","Recompute fixed U=1, SINR=0 dB rate from B/K."
"record.tradeoff",
"record.limitation","Deterministic fixture; not a live transmit-power claim."
"record.paEfficiency",
"record.rfOutput",
"record.paInput",
"record.circuitPower",
"record.totalPower",
"record.scopeStatus",
"record.energyKnobs",
"record.paPower",
"record.handoverEnergy",
"record.handoverCount",
"record.radioEnergy",
"record.totalEnergy",
"record.runEe",
"record.lowSinr",
"record.bandwidth","200"
"record.reuseFactor","4"
"record.load","1"
"record.sinr","0"
"record.throughput","50"
"record.data","663.8749999404013"
"record.serviceStatus","served"
"record.servingSatellite",
"record.servingCell",
"record.servingBeam","t3-fixed-u1-sinr0"
"record.sourceKind","deterministic-fixture"
"record.beforeParams",
"record.afterParams",
"record.dataT4",
"record.energyT4",
"record.windowIdT4",
"record.simulationClock",
"record.playbackState",
"record.resetAction",
"record.explicitStateStatus",
"record.baselineArm",
"record.candidateArm",
"record.comparison",
"record.producerStatus",
"record.systemPower",
"record.instantaneousEe",
"record.perUserContributionSum",
"record.ratioOfSums",
"record.sampleWindow",
"record.actualRf",
"record.ratedRf",
"record.serviceBeam",
"record.frameSimTime",
"record.evaluationData",
"record.evaluationEnergy",
"record.perUserContributions",
"record.fieldAbsenceReasons.absenceReason","no-blocking-condition"
"record.fieldAbsenceReasons.tradeoff","not-applicable-to-selected-task"
"record.fieldAbsenceReasons.paEfficiency","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.rfOutput","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.paInput","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.circuitPower","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.totalPower","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.scopeStatus","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.energyKnobs","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.paPower","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.handoverEnergy","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.handoverCount","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.radioEnergy","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.totalEnergy","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.runEe","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.lowSinr","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.servingSatellite","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.servingCell","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.beforeParams","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.afterParams","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.dataT4","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.energyT4","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.windowIdT4","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.simulationClock","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.playbackState","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.resetAction","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.explicitStateStatus","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.baselineArm","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.candidateArm","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.comparison","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.producerStatus","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.systemPower","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.instantaneousEe","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.perUserContributionSum","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.ratioOfSums","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.sampleWindow","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.actualRf","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.ratedRf","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.serviceBeam","not-selected-or-unavailable-for-T3"
"record.fieldAbsenceReasons.frameSimTime","not-selected-or-unavailable-for-T3"
