field,value
"record.schemaVersion","t1-t6-experiment-record-v1"
"record.taskId","T4"
"record.experimentId","T4-run-hobs-2024-candidate-rich-1786074994946-4"
"record.runId","run-hobs-2024-candidate-rich-1786074994946"
"record.captureIndex","4"
"record.capturedAtIso","2026-08-07T04:38:20.692Z"
"record.scenarioIdentity","hobs-2024-candidate-rich"
"record.profileIdentity","hobs-2024-candidate-rich"
"record.sceneSource","live-sim"
"record.sceneLane","sinr-live"
"record.windowId","762.1798000023381-772.7119000015275"
"record.windowStartSec","762.1798000023381"
"record.windowEndSec","772.7119000015275"
"record.durationSec","10.532099999189427"
"record.changedInput","Restart measurement or Restore energy defaults"
"record.unchangedInputs","values not named as changed remain as read"
"record.changedControls.resetAction","restore-energy-defaults"
"record.units.rfOutput","W"
"record.units.totalPower","W"
"record.units.totalEnergy","J"
"record.units.throughput","Mbit/s"
"record.units.data","Mbit"
"record.units.runEe","Mbit/J"
"record.units.lowSinr","%"
"record.units.actualRf","W"
"record.units.ratedRf","W"
"record.absenceReason",
"record.interpretation","Read the producer values in the selected task section."
"record.tradeoff",
"record.limitation",
"record.paEfficiency",
"record.rfOutput",
"record.paInput",
"record.circuitPower",
"record.totalPower",
"record.scopeStatus",
"record.energyKnobs",
"record.paPower",
"record.handoverEnergy",
"record.handoverCount",
"record.radioEnergy",
"record.totalEnergy",
"record.runEe",
"record.lowSinr",
"record.bandwidth",
"record.reuseFactor",
"record.load",
"record.sinr",
"record.throughput",
"record.data",
"record.serviceStatus",
"record.servingSatellite",
"record.servingCell",
"record.servingBeam",
"record.sourceKind",
"record.beforeParams.paEfficiency","0.56"
"record.beforeParams.circuitPowerW","28"
"record.beforeParams.energyPerHandoverJ","93"
"record.afterParams.paEfficiency","0.35"
"record.afterParams.circuitPowerW","3"
"record.afterParams.energyPerHandoverJ","3"
"record.dataT4","41.46799778701498"
"record.energyT4","3043.767728337404"
"record.windowIdT4","762.1798000023381-772.7119000015275"
"record.simulationClock","772.7119000015275"
"record.playbackState","paused"
"record.resetAction","restore-energy-defaults"
"record.explicitStateStatus",
"record.baselineArm",
"record.candidateArm",
"record.comparison",
