field,value
"record.schemaVersion","t1-t6-experiment-record-v1"
"record.taskId","T2"
"record.experimentId","T2-run-hobs-2024-candidate-rich-1786074994946-2"
"record.runId","run-hobs-2024-candidate-rich-1786074994946"
"record.captureIndex","2"
"record.capturedAtIso","2026-08-07T04:15:59.112Z"
"record.scenarioIdentity","hobs-2024-candidate-rich"
"record.profileIdentity","hobs-2024-candidate-rich"
"record.sceneSource","live-sim"
"record.sceneLane","sinr-live"
"record.windowId","738.8603000026956-748.9023000035301"
"record.windowStartSec","738.8603000026956"
"record.windowEndSec","748.9023000035301"
"record.durationSec","10.042000000834491"
"record.changedInput","eta_PA / P_circuit / e_HO"
"record.unchangedInputs","values not named as changed remain as read"
"record.units.rfOutput","W"
"record.units.totalPower","W"
"record.units.totalEnergy","J"
"record.units.throughput","Mbit/s"
"record.units.data","Mbit"
"record.units.runEe","Mbit/J"
"record.units.lowSinr","%"
"record.units.actualRf","W"
"record.units.ratedRf","W"
"record.absenceReason",
"record.interpretation","Read the producer values in the selected task section."
"record.tradeoff",
"record.limitation",
"record.paEfficiency",
"record.rfOutput",
"record.paInput",
"record.circuitPower",
"record.totalPower",
"record.scopeStatus",
"record.energyKnobs.paEfficiency","0.56"
"record.energyKnobs.circuitPowerW","28"
"record.energyKnobs.energyPerHandoverJ","93"
"record.paPower","178.57142857142856"
"record.handoverEnergy","93"
"record.handoverCount","1"
"record.radioEnergy","2074.3902858866677"
"record.totalEnergy","2167.3902858866677"
"record.runEe","0.031153513373347982"
"record.lowSinr","100"
"record.bandwidth",
"record.reuseFactor",
"record.load",
"record.sinr",
"record.throughput",
"record.data",
"record.serviceStatus",
"record.servingSatellite",
"record.servingCell",
"record.servingBeam",
"record.sourceKind",
"record.beforeParams",
"record.afterParams",
"record.dataT4",
"record.energyT4",
"record.windowIdT4",
"record.simulationClock",
"record.playbackState",
"record.resetAction",
"record.explicitStateStatus",
"record.baselineArm",
"record.candidateArm",
"record.comparison",
"record.producerStatus",
"record.systemPower",
"record.instantaneousEe",
"record.perUserContributionSum",
"record.ratioOfSums",
"record.sampleWindow",
"record.actualRf",
"record.ratedRf",
"record.serviceBeam",
"record.frameSimTime",
"record.evaluationData",
"record.evaluationEnergy",
"record.perUserContributions",
"record.fieldAbsenceReasons.absenceReason","no-blocking-condition"
"record.fieldAbsenceReasons.tradeoff","not-applicable-to-selected-task"
"record.fieldAbsenceReasons.limitation","not-applicable-to-selected-task"
"record.fieldAbsenceReasons.paEfficiency","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.rfOutput","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.paInput","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.circuitPower","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.totalPower","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.scopeStatus","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.bandwidth","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.reuseFactor","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.load","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.sinr","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.throughput","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.data","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.serviceStatus","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.servingSatellite","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.servingCell","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.servingBeam","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.sourceKind","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.beforeParams","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.afterParams","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.dataT4","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.energyT4","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.windowIdT4","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.simulationClock","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.playbackState","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.resetAction","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.explicitStateStatus","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.baselineArm","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.candidateArm","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.comparison","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.producerStatus","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.systemPower","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.instantaneousEe","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.perUserContributionSum","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.ratioOfSums","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.sampleWindow","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.actualRf","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.ratedRf","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.serviceBeam","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.frameSimTime","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.evaluationData","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.evaluationEnergy","not-selected-or-unavailable-for-T2"
"record.fieldAbsenceReasons.perUserContributions","not-selected-or-unavailable-for-T2"
